model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
mf,A,hybrid_10,p,5,1,0.0467,0.0363,0.0401,0.0571,2.5078,0.699,3.4951,0.8054,0.3182,0.0247,0.4183,0.2814,0.7143,-0.4329
mf,A,hybrid_20,p,5,1,0.0426,0.0328,0.0364,0.0525,2.4496,0.7237,3.6187,0.8192,0.3182,0.0239,0.4278,0.2869,0.7397,-0.4528
mf,B,global_0.0,0.0,5,1,0.1066,0.0754,0.0871,0.1409,4.319,0.0,0.0,0.0,0.0,0.0167,-0.0286,0.0,0.0,0.0
mf,B,global_0.2,0.2,5,1,0.0984,0.069,0.08,0.1042,3.0745,0.4463,2.2316,0.8034,0.0606,0.0159,0.151,0.2207,0.4546,-0.2339
mf,B,global_0.4,0.4,5,1,0.0929,0.0645,0.0751,0.0979,2.8323,0.5606,2.8029,0.8229,0.0682,0.0149,0.1525,0.2331,0.5726,-0.3395
mf,B,global_0.6,0.6,5,1,0.0895,0.0616,0.072,0.0909,2.6673,0.6296,3.1482,0.9073,0.0758,0.0138,0.1287,0.2759,0.6426,-0.3667
mf,B,global_0.8,0.8,5,1,0.0852,0.0579,0.0681,0.0797,2.5558,0.669,3.3448,1.0,0.1061,0.0128,0.2981,0.3834,0.6794,-0.2959
mf,B,global_1.0,1.0,5,1,0.0009,0.0004,0.0005,0.0007,2.4,0.8,4.0,1.0,0.0379,0.001,0.2235,0.8,0.8,0.0
mf,B,behavioral,p,5,1,0.1066,0.0754,0.0871,0.1409,4.2942,0.0073,0.0367,0.0112,0.0379,0.0174,-0.0284,0.2083,0.0,0.2083
mf,B,semantic,p,5,1,0.0899,0.0619,0.0724,0.092,2.6881,0.6212,3.1061,0.8912,0.0833,0.0144,0.1546,0.2924,0.6332,-0.3408
mf,B,hybrid_5,p,5,1,0.099,0.0696,0.0806,0.1074,3.1247,0.4244,2.1219,0.7871,0.0606,0.0165,0.1294,0.2221,0.4318,-0.2097
mf,B,hybrid_10,p,5,1,0.0984,0.069,0.08,0.1043,3.0751,0.4462,2.2311,0.8054,0.0682,0.0164,0.227,0.2303,0.4541,-0.2238
mf,B,hybrid_20,p,5,1,0.0974,0.0683,0.0792,0.1029,2.8848,0.5369,2.6847,0.8192,0.0682,0.0161,0.1408,0.2372,0.5479,-0.3107
mf,none,none,none,5,2,0.1471,0.1123,0.126,0.1696,4.2784,0.0,0.0,0.0,0.0,0.0265,0.1956,0.0,0.0,0.0
mf,A,global_0.0,0.0,5,2,0.1471,0.1123,0.126,0.1696,4.2784,0.0,0.0,0.0,0.0,0.0265,0.1956,0.0,0.0,0.0
mf,A,global_0.2,0.2,5,2,0.1424,0.1094,0.1224,0.1644,2.9632,0.4843,2.4214,0.7764,0.3106,0.0244,0.339,0.2915,0.4917,-0.2002
